X.1,X,Y,habitat_pt,elevation,pc_broad,pc_conif,pc_ag,pc_wet,pc_heath,pc_urban,patches,pc_igrass,pc_sgrass,d_rabbit,r_dens,d_water,d_building,fclass,all_mt_,presence,moran
54,53.2611341,-4.452698876,18,30.65,12.45630546,0.635251412,1.939365421,0,0,19.05082011,7,62.64788922,0.147889218,6008.66397309000,8.85E-06,100.9065771,0.029923367,trunk,13042,1,0.029997805
55,53.39412168,-4.326474155,18,75.33,24.44849892,6.671089733,0.321778073,0,0,0.454470061,7,60.62696965,4.103499751,6227.24072774000,3.09E-06,111.6905592,0.005693016,primary,46,1,-0.006228986
56,51.74853485,-2.744490452,18,193.23,3.469251337,0,0.835561497,0,0,0.59157754,4,94.77941176,0.324197861,9184.32438803000,1.26E-05,161.9755756,0.003853546,unclassified,2782,1,0.000473171
57,53.04144661,-3.030936252,18,120.25,12.42273582,0,6.24160172,0.238511153,0,2.868852459,4,78.22829884,0,1709.69650403000,2.73E-06,151.0306021,0.011682799,trunk,44996,1,0.004387874
58,53.01388107,-3.047808231,1,158.16,12.85862542,0.150647785,1.436175555,0,0,7.348264203,5,77.08814569,1.118141341,1938.65137531000,4.18E-06,147.5912581,0.001966869,residential,6213,1,-0.001021851
59,53.0484108,-3.68789383,18,237.06,8.284776639,2.417788494,8.710066305,0,0,1.573906637,6,75.41691782,3.442502177,6510.54211777000,4.23E-06,102.2371009,0.005251576,trunk,4098,1,0.001275199
60,51.95618204,-5.040186711,12,86.12,10.29203102,1.415607985,3.134796238,0,0,0.026398284,5,55.7630754,29.36809107,1241.43741846000,2.55E-06,6.984493446,0.018212535,tertiary,1713,1,-7.08E-05
61,51.40337703,-3.338362686,12,45.13,4.297033726,0,5.008126778,0.199783286,0,20.60815387,4,69.88690234,0,1310.67834932000,4.20E-06,118.1243945,0.002998975,unclassified,9511,1,-6.13E-05
62,53.40110784,-4.346201721,18,41.83,10.1469207,0,0.194552529,0,0,1.569837649,4,88.01153898,0,6784.32452960000,6.82E-06,112.0884105,0.00047049,tertiary,3459,1,-0.000146493
63,51.93720359,-3.367009047,24,158.92,20.34828887,0,26.14187551,2.765427109,0.232417138,18.55631905,7,30.71611425,0,1611.09348384000,5.23E-06,106.696307,0.009691988,trunk,8348,1,-0.000232738
64,51.97905415,-3.32969824,18,219.12,1.718841906,2.24495131,0.59146461,0,0.218939939,0.637213254,7,89.43533102,4.872230573,469.72076253800,4.08E-06,111.7060779,0.018515751,trunk,8898,1,0.000155065
65,51.97164529,-3.339218059,18,219.75,15.53548561,0.303295815,1.937723259,0,0,11.01300802,8,40.02493766,0,1004.25716653000,2.98E-06,110.6493348,0.018772786,trunk,8898,1,-0.000286525
66,53.36530588,-4.305663344,18,69.98,5.485135577,0,2.943482522,0,0.258085593,2.280300555,5,73.75367527,15.27932048,1567.52401013000,4.13E-06,111.4159217,0.001538856,primary,46,1,0.00104992
67,52.6236851,-3.738722971,18,114.87,4.09884875,0,0,0,0,8.425962684,4,86.88633055,0,8597.49054113000,3.42E-06,85.71635689,0.001264677,trunk,3493,1,-0.000137752
68,52.32679054,-3.942470583,18,176.89,8.394755724,2.14271737,1.121909856,0,0,0.326136586,6,71.86745809,16.05244276,2383.07165945000,4.93E-06,64.59529715,0.010131338,secondary,964,1,6.72E-06
69,53.1879001,-3.703097219,18,203.42,12.90742307,0,1.249105458,0,0,19.71569839,6,63.9613558,0.43263288,1501.75720550000,5.02E-06,115.1516222,0.000864868,tertiary,1376,1,-0.001381614
70,52.52647834,-3.330976557,18,187.48,18.06976666,0.023638267,7.280586229,0,29.94630737,1.192044035,5,43.48765745,0,5866.60384204000,4.38E-06,119.2763242,0.006742286,unclassified,17024,1,-8.45E-05
71,53.07648613,-3.265778589,18,154.79,5.934117022,0.059772863,2.988643156,0,0,2.135219499,6,87.22853158,0,3101.45431070000,3.27E-06,139.548551,0.006859734,unclassified,3787,1,-0.000620461
72,51.72997016,-5.126359684,12,21.82,8.331949656,4.270580812,0.584465181,0,0.308836715,0.268986816,9,51.25693222,34.57974961,5822.30789465000,1.33E-05,31.82821493,0.029459537,unclassified,68,1,-4.01E-05
73,51.6817646,-4.865498984,12,41.14,8.816129357,7.97074709,0.345533228,0,0,0.882283874,5,53.77570532,28.20960113,4094.68238188000,7.20E-06,37.54371266,0.014897482,unclassified,12935,1,-5.92E-05
74,53.22011999,-3.430348444,18,79.68,10.13208494,0,5.865239926,0,0,13.20849356,4,70.10198963,0,4519.36922691000,8.15E-06,136.5738897,0.005900323,secondary,11431,1,-0.001549437
75,51.72251673,-4.230952112,18,120.22,6.58847185,1.997319035,3.304289544,0,0,6.826407507,6,80.66689008,0,5976.13976694000,6.77E-06,49.72893049,0.009489359,residential,3156,1,9.17E-05
76,52.07057382,-4.358640875,18,174.12,2.36946321,4.42610403,0.888548704,0.176378582,0,1.384405471,6,85.54694,5.208160005,1153.17301004000,3.48E-06,27.22870534,0.003787211,primary,1508,1,0.000644717
77,52.04264548,-4.324153831,18,118.18,0.430286858,2.75850567,1.287525017,0,0,0.677118079,6,89.00933956,4.643095397,7975.79750967000,6.05E-06,27.24438242,0.008210508,unclassified,2880,1,0.000277046
78,53.17365529,-3.16989217,18,155.27,1.141179219,2.395809003,1.761820548,0,0,1.421468851,5,88.58153425,4.698188128,8797.01466375000,4.84E-06,153.7072797,0.00278628,tertiary,7796,1,-0.000387431
79,51.58993083,-3.127309159,1,133.53,24.41281378,9.179621778,0.625883303,0,0,2.429504004,4,63.35217713,0,1755.86443160000,7.13E-06,136.4823302,0.001403818,primary,26087,1,0.00017996
80,52.58550762,-3.19106513,18,82.24,5.049318929,0,3.103402,0,0,5.881366168,3,85.9659129,0,1143.67910744000,4.14E-06,131.6241796,0.000314797,unclassified,10999,1,0.000299103
81,51.89092806,-4.169526357,18,121.49,0,0,0.622487356,0.849435871,4.153157826,17.77655298,7,66.02256517,6.613928155,2508.50272356000,7.03E-06,42.57067548,0.009282376,secondary,4659,1,0.001242245
82,51.58268204,-2.806722564,18,18.58,3.677482793,7.332022288,0,0,7.204195346,0.209767289,6,33.2776139,46.94198623,8732.06822714000,3.14E-06,157.1257328,0.005041128,secondary,617,1,-2.69E-05
83,51.58450982,-2.802424988,18,18.58,9.858125395,20.57015649,1.548327076,0,0,1.614778882,5,65.71419078,0.694421371,4070.44843440000,2.37E-06,157.8054745,0.00621741,secondary,617,1,-0.000604072
84,53.21544684,-3.380696024,12,39.49,0.802112883,0,22.20157162,0,0,4.79963481,4,66.57536927,5.621311422,4801.13173270000,1.62E-06,140.6557983,0.006943973,primary,2129,1,-0.000195977
85,53.14666147,-3.493621693,18,254.03,22.42208251,6.878929496,1.536495982,0,0,4.797767542,5,31.91339139,32.45133309,2819.73176109000,4.30E-06,126.9317925,0.00306691,secondary,369,1,-0.000161464
86,53.06544746,-3.777362927,23,200.09,13.76202327,1.365440237,15.20817919,0,0,3.353063833,4,66.31129347,0,4114.13976221000,1.84E-06,98.82597559,0.000720347,secondary,6506,1,0.014396493
87,53.06645547,-3.776688027,23,200.09,25.06668467,5.922274369,33.71712192,0,0,1.495762569,4,33.79815646,0,3183.95691946000,1.29E-05,100.2395966,0.000824905,trunk,6506,1,0.014365298
88,51.69851302,-4.092841685,18,35.95,5.253068774,0,11.88498403,0,0,2.710610392,4,80.0168152,0,2822.69294009000,2.77E-06,58.69126406,0.004915263,trunk,25739,1,-0.000133322
89,51.82631877,-4.285712786,18,78.64,10.136931,0.508024089,16.81526091,0,0,3.229822023,5,68.65726878,0,2417.80137530000,6.03E-06,35.29676947,0.001617872,primary,9534,1,0.000686001
90,52.30548076,-3.315536916,18,254.27,10.01885903,4.458813228,11.62861184,0,0,0.397386677,4,73.49632922,0,3549.30109728000,8.78E-06,117.8460603,0.005078387,trunk,3116,1,-0.000290276
91,52.75674744,-3.237223116,18,170.69,16.31568324,0,14.24342327,0,0,3.575994079,4,65.52512952,0,2822.93638336000,5.80E-06,132.3427457,0.005789392,primary,3996,1,2.53E-05
92,53.2809704,-3.56693968,12,53.17,3.588621444,0.084160916,8.123211581,0,0,1.201817876,4,87.00218818,0,1139.94303614000,2.82E-06,133.2019904,0.001222697,unclassified,13168,1,-0.007333192
93,51.94332861,-3.353621344,18,158.92,13.90467862,0.087450809,9.646496922,0,0,5.479129528,5,70.54253136,0,1914.75053691000,1.53E-06,108.6431324,0.001012328,trunk,7354,1,4.39E-05
94,51.91802436,-4.764178734,18,270.84,9.214705684,0.209501926,15.37135906,0,0,12.10380483,4,63.10062851,0,1838.81955167000,2.37E-06,10.00614333,0.010103204,tertiary,78,1,0.000271859
95,51.7898254,-2.75531934,12,68.75,8.485586683,0,28.2243876,0,0.683448369,6.743131682,6,53.25822168,0,4218.74258158000,5.53E-06,158.9024729,0.007922222,trunk,24868,1,-0.000180173
96,52.36282155,-3.333394634,18,325.34,7.683700112,0,19.54494592,0,0,28.23573294,4,43.88796582,0,2529.66276108000,6.12E-06,116.8979239,0.021896615,trunk,2798,1,0.000133727
97,53.20479548,-4.108056291,18,55.4,0.02712968,0,57.0978025,0,0,7.867607162,5,24.12845903,0,4434.42970407000,6.11E-06,101.490572,0.001585593,trunk_link,28087,1,0.000377566
98,53.28075654,-3.564741935,12,53.17,9.093650528,1.95007539,6.098173898,0,0,1.008544145,6,76.84369241,4.895292344,4386.78592588000,1.18E-05,133.0898886,0.002496772,trunk,13168,1,-0.009026341
99,53.06722349,-3.113277341,18,367.13,6.398096323,8.311827597,3.116935349,0,0,0.529543855,6,76.40848611,5.161376814,3466.31217926000,3.36E-06,149.5657678,0.002374494,secondary,1828,1,0.000434075
100,51.73416863,-2.741358132,12,199.15,7.118212575,0.710146384,3.379894818,0,0,1.269554149,6,85.34150672,2.026596992,8046.57820101000,3.97E-06,163.3673422,0.004126652,secondary,2782,1,-9.33E-05
101,51.7720926,-2.732935997,25,216.07,6.382907359,0.707721205,18.98436976,0,0,1.848125042,5,71.24169853,0,1845.08495913000,5.16E-06,164.5312667,0.006771668,secondary,3787,1,0.00014208
102,52.1606721,-3.39994349,24,151.06,8.713581654,3.500184397,2.658664968,0,0,9.843430449,6,74.85499715,0,4293.57641960000,5.14E-06,103.8557527,0.000956751,trunk,6963,1,-0.000212345
103,51.88723661,-4.361175131,18,146.47,7.468337466,4.06754674,4.506466528,0,0,12.10547477,6,71.35629565,0.170877169,5799.97074481000,1.13E-05,25.06054298,0.025589725,unclassified,4182,1,0.000571065
104,53.27039639,-3.838342466,18,91.22,16.11539752,4.555518282,0.751425696,0,0,1.519624287,5,61.31499497,15.74303925,6006.10221948000,6.88E-06,118.2441084,0.003234369,secondary,5640,1,0.000161412
105,51.81301719,-4.510548556,18,34.98,10.04056121,1.542655762,0.26929982,0,0.106390053,1.120420241,7,85.83349957,1.033978323,5443.18987190000,4.92E-06,25.03469457,0.001584753,trunk,3158,1,-0.00037978
106,51.9809794,-4.258339309,18,199.05,12.10554407,6.965107746,3.976249249,0,0,12.45580092,7,51.16085129,6.181199546,4522.98439760000,6.01E-06,34.07747996,0.023992435,service,7267,1,0.001984454
107,52.36240522,-4.000152562,18,102.83,1.991536808,0,2.451638904,0,0,24.4660129,6,59.06098872,0,5613.03493599000,4.84E-06,62.53083263,0.022574129,service,470,1,5.09E-05
108,52.00168476,-4.265573783,1,185.09,5.904877066,0,3.133817009,0.188096198,5.62609163,2.331049308,5,82.81606879,0,3568.87589122000,5.83E-06,33.45130761,0.013243117,secondary,51,1,0.000934475
109,51.79246918,-2.735412299,12,78.52,9.134906231,0.10082678,1.855212745,0,0,4.325468845,5,84.2172481,0.366337299,5683.64012707000,1.42E-05,162.686827,0.001495732,trunk,24868,1,-0.000228098
110,52.30576819,-3.516488281,1,239.15,1.196517998,0,1.488925487,0.060498101,0,11.83073976,5,76.17383121,0,3471.88175223000,6.94E-06,92.07461867,0.005081483,service,3383,1,0.00079158
111,52.54775657,-3.075660844,18,146.72,3.90743423,0.168423889,4.688921077,0,0,26.31454846,6,57.24391148,0,4812.84667960000,5.00E-06,139.7013764,0.008827811,primary,2003,1,0.000129746
112,51.60256444,-4.103761566,18,81.63,2.558428059,1.495490058,3.135164135,0,0,2.997686349,5,89.53827583,0.274955571,2875.53253684000,7.02E-06,58.94422038,0.006955188,secondary,2427,1,5.13E-06
113,52.96081802,-3.147760607,18,213.7,3.480123143,2.810868692,2.660286441,0,0,0.344666042,5,76.95756927,13.74648641,10017.17515530000,5.12E-06,144.048018,0.001253938,service,5648,1,-0.000135472
114,51.89740967,-4.007044485,18,62.46,5.108061634,0,12.60325702,0,0,1.588050845,3,80.7006305,0,6829.91446338000,2.43E-06,53.9238392,0.006495642,unclassified,7168,1,6.14E-05
115,51.77972515,-2.911701166,12,68.15,3.146150238,0.700261342,30.67747772,0,0.479126181,1.346914159,6,63.6433693,0,3214.20984139000,9.43E-06,148.6381023,0.001665351,trunk,12192,1,-2.63E-05
116,53.0816029,-3.275722524,18,154.79,3.582974138,0,51.18197737,0,0,4.381061422,5,37.49326509,0,4321.92544364000,6.34E-06,138.8492177,0.011447184,secondary,3787,1,-0.00650636
117,53.08026125,-3.274249653,18,154.79,1.967103055,0,26.57267539,0,7.878482712,6.958710977,8,50.61765693,0,1568.74985316000,4.92E-06,139.1921394,0.009617101,secondary,3787,1,-0.006900547
118,53.11345178,-3.531914479,27,423.73,6.608091404,0.136972572,2.903150369,0,0,2.03120302,4,88.32058263,0,14617.91135240000,3.05E-06,118.2375469,0.015079,secondary,369,1,-0.000851142
119,51.82900458,-4.150525525,18,94.45,10.70974647,0,6.084018998,0,0,13.26175664,4,69.25212389,0,4915.83936178000,3.38E-06,46.04336556,0.010620365,trunk,1824,1,-0.000407508
120,51.78810607,-2.987260893,18,72.12,10.29308559,0,2.232396484,0,0,2.055275206,3,85.41924272,0,13119.76993940000,6.64E-06,144.1363966,0.008637603,trunk,13356,1,-1.47E-05
121,53.14110108,-3.357379518,18,128.09,3.638305684,0,5.574284856,0,0,4.345939451,4,85.97750259,0,8396.84884762000,5.23E-06,137.6520067,0.00125575,primary,10053,1,0.000547666
122,51.70792782,-2.894336869,1,42.18,24.7906142,6.464371178,0,0,0.947221484,1.947620314,7,29.08468492,36.26695028,7375.08552295000,2.98E-06,152.3740886,0.001259238,residential,7670,1,0.000427252
123,53.10042593,-3.870773125,23,251.03,12.73116157,0.562685094,3.826916749,0,0,0.526488977,6,77.94998355,4.034221783,3405.31436781000,2.88E-06,100.4437123,0.001777229,trunk,3970,1,0.001136771
124,52.93946058,-3.956727345,18,161.95,6.045098881,0,12.61514081,0,0,0.439103305,5,80.79830962,0,1945.73233994000,3.09E-06,79.77282265,0.000644216,residential,5128,1,0.000628667
125,51.60613602,-2.795586284,12,30.2,21.30930732,1.663084807,2.559100678,0,0,3.484873533,6,70.63977517,0,829.49142919500,3.71E-06,158.2289414,0.016092512,unclassified,62726,1,-1.74E-05
126,53.28197054,-3.782437809,4,73.55,6.385227761,0,17.18362898,0,0,2.636012288,4,72.50355102,0,531.40507731700,3.93E-06,126.6099873,0.005759459,trunk,41390,1,0.000599227
127,52.72399212,-4.044800674,23,104.32,7.086405873,1.762507854,13.89173638,0,0,3.634139083,4,73.62521081,0,3539.24092669000,1.48E-06,69.31981512,0.00062854,service,3861,1,0.807143593
128,52.72399212,-4.044800674,23,104.32,10.45608053,2.049247516,5.393619463,0,0,8.715039837,7,67.13006984,3.816518574,3629.67343153000,2.27E-06,69.31981512,0.00062854,service,3861,1,0.807127912
129,51.94845726,-3.473846159,12,229.91,0.065666349,22.14925961,0.568013921,0.853662541,0.124766064,0,8,7.620579834,68.37180287,4377.23671976000,9.64E-06,93.62804499,0.009602614,trunk,4234,1,-0.000108445
130,51.80739834,-3.680203414,18,267.03,18.70451477,0.177824612,6.56633846,0,1.544439688,9.355550433,10,6.197517042,12.35881055,3794.59873667000,3.52E-06,79.2584262,0.004235098,primary,3757,1,1.68E-06
131,52.05192741,-4.326342257,18,135.07,18.70451477,0.177824612,6.56633846,0,1.544439688,9.355550433,10,6.197517042,12.35881055,3794.59873667000,5.36E-06,27.04971449,0.001449289,primary,4474,1,0.010128131
132,52.05015443,-4.325506272,18,135.07,23.37958375,7.64453254,4.816650149,0.135447638,0,0.789560621,8,57.38685167,2.811364387,9574.81000697000,4.21E-06,27.47787224,0.002944796,primary,4474,1,0.009800532
