Record Date,Grid Reference,X,Y,Location,Vice County,Classification
06/12/2015,SJ093613,309300,361300,Bachymbyd,50,Unverified
17/06/2015,SH64260485   ,264260,304850,Nant-y-Mynach,48,True polecat
04/01/2015,ST0075,300000,175000,Cowbridge,41,True polecat
18/07/2015,SN376236,237600,223600,Bwlchnewydd,44,True polecat
04/01/2014,SN4605,246000,205000,Trimsaran,44,True polecat
30/07/2015,ST0768,307000,168000,Barry,41,Unverified
31/07/2015,SJ183517,318300,351700,Pen-y-Stryt,50,True polecat
08/01/2015,ST445876,344500,187600,Undy,35,Unverified
28/07/2015,SN4689101365,246891,201365,Pwll,44,True polecat
28/07/2015,SN6746137592 ,267461,237592,Caio,44,Unverified
08/06/2015,SJ46213730,346210,337300,Welshampton,50,Unverified
16/08/2015,SJ153540,315300,354000,Graig-fechan,50,True polecat
16/08/2015,SO098929,309800,292900,Newtown,47,True polecat
09/10/2015,SJ002621,300200,362100,Nantglyn,50,True polecat
13/09/2015,SH775764,277500,376400,Gyffin,49,True polecat
14/09/2015,SS544914,254400,191400,Pengwern Common,41,True polecat
09/01/2015,SN639757,263900,275700,New Cross,46,True polecat
23/09/2015,SO093747,309300,274700,Llananno,43,True polecat
19/09/2015,SN97522477,297520,224770,Libanus,42,True polecat
10/01/2015,SN407408,240700,240800,Llandysul,46,True polecat
10/07/2015,SO0705228069,307052,228069,Brecon,42,True polecat
20/08/2015,SH686398,268600,339800,Gellilydan,48,Unverified
16/10/2015,SN714645,264500,264500,Pontrhydfendigaid,46,True polecat
21/10/2015,SJ14745443,314740,354430,Graigfechan,50,Unverified
10/01/2015,SJ470408,347000,340800,Eglwys Cross,50,Unverified
10/01/2015,SJ460373,346000,337300,Bettisfield,50,Unverified
27/10/2015,SN553525,255300,252500,Pont Creudynn,46,True polecat
27/10/2015,SN556517,255600,251700,Silian,46,True polecat
11/06/2015,SO4952408412,349524,208412,Lydart,35,True polecat
11/01/2015,SN6224,262000,224000,Salem,44,True polecat
11/07/2015,SH4411491930,244114,391930,Amlwch,52,True polecat
15/11/2015,ST002675,300200,167500,St Athan,41,Unverified
11/04/2013,SH737418,273700,341800,Cwm Cynfal,48,Unverified
07/04/2015,SH9879139755,298791,339755,Bethel,48,True polecat
20/11/2015,SN7415172777,274151,272000,Pontrhydygroes,46,Unverified
10/11/2015,SN6772171632,267721,271632,Ystwyth,46,True polecat
12/10/2015,SJ109639,310900,363900,Llandyrnog,50,True polecat
12/12/2015,SO2715694978,327156,294978,Churchstoke,47,Unverified
30/12/2015,SN8425613420 ,284256,213420,Ynyswen,42,True polecat
